film,sinopsis,genre
Danur 2: Maddah (Aug),risa (prilly latuconsina) seorang gadis remaja yang memiliki 3 rekan hantu bernama peter (gamaharitz) william (alexander bain) dan jhansen (kevin bzezovski). risa sekarang tinggal bersama saudaranya riri (sandrina michelle) yang semakin malu dengan kemampuan risa untuk melihat hantu. selain itu mereka untuk sementara hanya tinggal bersama karena ibunya menemani kantor ayahnya di luar negeri. rumah tangga pamannya om ahmad (bucek) baru-baru ini pindah ke bandung bersama istrinya tente tina (sophia latjuba) dan anak angki (shawn adrian). risa dan riri sering mengunjungi bahkan tinggal di rumah om ahmad dan tante tina. awalnya risa tidak merasa aneh dengan rumah om ahmad tetapi suatu hari risa menangkap om ahmad pergi dengan seorang perempuan risa hampir tidak percaya bahwa om-nya curang risa tidak berani berkata kepada bibi tina dan memilih untuk menyelidiki dirinya sendiri. namun setelah itu angki menceritakan beberapa hal aneh yang terjadi dan yang paling aneh adalah sikap om ahmad berubah. suatu malam risa diganggu oleh hantu perempuan yang menghantui di rumah. apakah benar curang om ahmad? apa izin dengan teror perempuan hantu di rumah yang mengganggu rumah tangga om ahmad termasuk risa? akankah peter dan kawan-kawannya datang untuk membantu risa meskipun peter diperingatkan risiko sebelumnya tentang roh-roh jahat yang berbahaya di rumah om ahmad?,Horor
The Doll 2 (Aug),maira dan aldo nasib senang bersama kayla anak bungsu mereka dan yani pembantu mereka. tapi sebuah kecelakaan tragis membawa nasib kayla dan juga kebahagiaan mereka. maira berubah menjadi seseorang yang begitu suram dan aldo menenggelamkan dirinya dalam pekerjaan. tetapi 6 bulan kemudian pada hari untuk ulang tahun berikutnya kayla maira merasa bahwa dia tidak sendirian. suara pintu terbuka di malam hari tv rusak menyala sendiri dan suara anak mengganggu. sabrina boneka yang merupakan mainan favorit kayla juga sering salah tempat. elsa sahabatnya menyarankan dia untuk mencoba berkomunikasi dengan kayla menggunakan boneka sabrina sebagai media. sejak saat itu maira merasa kesal dan mempercayai bahwa kayla lah yang mengganggunya. aldo tidak akan mempercayai padanya. tetapi maira yakin bahwa kayla sekarang di dalam boneka sabrina itu dan sedang mencoba untuk berkomunikasi dengannya. jadi akhirnya maira meminta bantuan laras dan bagas paranormal yang melakukan hal serupa beberapa tahun lalu. tapi laras yakin ini akan lebih buruk dari sebelumnya dan maira.,Horor
The Secret: Suster Ngesot Urban Legend (Aug),"mengetahui ayahnya telah menikahi seorang cewek seusianya, kanaya meninggalkan rumah, namun mengalami kecelakaan yang membuatnya dirawat di rumah sakit berhantu.",Horor
Pengantin topeng (Aug),"randy (hardy hartono) dan alexa (masayu anastasia) akan menikah. untuk mengucapkan selamat tinggal kepada hari-hari tanpa beban mereka mengundang tiga kawan terbaik untuk berlibur di pantai surga. billy (gabriel tabalujan) kinar (lolita putri) dan rosa (adelia rasya) senang bergabung dalam kegembiraan dan berbagi perjalanan di mobil randy ke pantai selatan jawa barat. pada saat kedatangan ketiganya segera menghabiskan waktu memandang sekeliling sampai malam. dengan berjemur tercebur di laut, berbicara dan menari sudah larut ketika mereka sampai di jalan untuk bermalam di hotel. mobil mogok di jalan dan jarak ke hotel cukup jauh. di tempat terpencil ini tidak terdapat transportasi umum dan ponsel tidak mendapat koneksi. akhirnya tidak ada pilihan bagi mereka kecuali tinggal di sebuah bungalo jompo di pantai. menemukan mayat yang membusuk di rumah bukanlah cara yang baik untuk memulai malam hari - tetapi hal yang lebih buruk akan segera datang. seperti adegan sedih alexa dan adik laki-lakinya memandang di rumah",Horor
Danur 2: Maddah (Aug),risa (prilly latuconsina) seorang gadis remaja yang memiliki 3 rekan hantu bernama peter (gamaharitz) william (alexander bain) dan jhansen (kevin bzezovski). risa sekarang tinggal bersama saudaranya riri (sandrina michelle) yang semakin malu dengan kemampuan risa untuk memandang hantu. selain itu mereka untuk sementara hanya tinggal bersama karena ibunya menemani kantor ayahnya di luar negeri. keluarga pamannya om ahmad (bucek) baru-baru ini pindah ke bandung bersama istrinya tente tina (sophia latjuba) dan anak angki (shawn adrian). risa dan riri sering mengunjungi bahkan tinggal di rumah om ahmad dan tante tina. awalnya risa tidak merasa aneh dengan rumah om ahmad tetapi suatu hari risa menangkap om ahmad pergi dengan seorang cewek risa hampir tidak percaya bahwa om-nya curang risa tidak berani berkata kepada bibi tina dan memilih untuk menyelidiki dirinya sendiri. namun setelah itu angki menceritakan beberapa hal aneh yang terjadi dan yang paling aneh adalah sikap om ahmad berubah. suatu malam risa diganggu oleh hantu cewek yang menghantui di rumah. apakah benar curang om ahmad? apa izin dengan teror cewek hantu di rumah yang mengganggu keluarga om ahmad termasuk risa? akankah peter dan kawan-kawannya datang untuk membantu risa meskipun peter diperingatkan risiko sebelumnya tentang roh-roh jahat yang berbahaya di rumah om ahmad?,Horor
Gondoruwo (Aug),rumah tua yang dulu dimiliki orang belanda kini ditempati oleh sanak saudara gunawan. istri gunawan adalah gadis nakal suka serong kendatipun sudah memiliki anak. ada misteri di rumah itu yakni tersimpannya harta karun. yang sedikit mengetahui hal itu adalah pembantu lama dogom. pembantu ini berusaha tetap setia karena memang ada ambisi untuk memperoleh sekotak harta karun yang ada di rumah itu. dogom sendiri tidak tahu bertahan di mana letak kotak harta karun itu. maka dogom lalu berteman dengan makhluk halus gondoruwo yang memang selalu bergentayangan di rumah itu. dengan demikian ketenteraman sanak saudara gunawan terus terganggu. diketengahkan pula seni debus tradisional.,Horor
Pesantren Impian (Aug),sepuluh gadis mendapatkan undangan misterius untuk tinggal di pesantren impian. pondok terpencil itu didirikan gus budiman untuk memberi kesempatan kedua bagi mereka yang mempunyai masa lalu gelap. sissy seorang model datang dengan sahabatnya inong yang menyimpan masalah sendiri. tapi dengan kasus narkobanya. sri hadir dengan skandal pelacuran. sementara rini yang tampak lugu ternyata hamil di luar nikah. selain mereka ada sederet nama lain dengan masalah masing-masing. termasuk eni polwan muda cerdas dan ambisius yang sedang mengusut kasus pembunuhan di hotel crystal dan mendapat petunjuk tersangkanya berada di pesantren impian. tak mudah mencairkan ketegangan di antara para santriwati yang tidak saling mengenal. penyebab masa lalu dan berbagai kebiasaan buruk terlanjur berkarat. pembimbing pesantren ustadz agam dan ustadzah hanum juga umar sosok tampan misterius yang dekat dengan gus budiman terus menyemangati. perlahan-lahan mereka berproses untuk mengenal islam dengan lebih baik. pesantren berangsur impian terasa seperti rumah kedua yang menawarkan oase keren yang tak pernah mereka temukan. hingga suatu ketika pesantren diserang. tewas demi tewas aneh mulai terjadi. para santriwati ketakutan. umar eni dan inong serta para gadis berjuang mengalahkan gangguan mengerikan yang menimpa pesantren impian.,Horor
Halfworlds (Aug),"di jalan-jalan yang ramai dan gang-gang belakang jakarta dunia paralelmakhluk haus darah dari mitologi indonesia telah kehidupan berdampingan dengan manusia selama beberapa generasi. mengambil penampilan manusia itu sendiri, identitas sebenarnya dari ""demit"" ini telah disembunyikan dengan saksama selama berabad-abad oleh sanak saudara kuat manusia. kehadiran peristiwa gaib misterius yang hanya diketahui sebagai hadiah akan membawa dunia yang tersembunyi ini ke permukaan. ketika hari hadiah mendekati seorang seniman jalanan muda bernama sarah tiba-tiba menemukan dirinya di mata badai. setelah demit menyadari siapa sarah sebenarnya dan apa yang harus dia lakukan sebagai manusia dan demit diatur pada jalur tabrakan yang dapat mengubah keseimbangan dua dunia mereka selamanya.",Horor
Comic 8: Casino Kings Part 2 (Aug),"delapan agen siasat tersembunyi (arie kriting babe cabiita bintang bete ernest prakasa fico fachriza ge pamungkas kemal palevi mongol) yang mengadopsi kode nama comic 8 kembali beraksi. mereka dituntun ke dalam perangkap oleh the king (sophia latjuba) dan pasukannya dipimpin oleh isa (donny alamsyah) dan bella (hannah al rashid) dan seorang co-konspirator bernama dr. pandji (pandji pragiwaksono). agen siasat tersembunyi kami harus bertaruh pada kehidupan mereka dalam skema perjudian online terbesar di dunia yang pemainnya termasuk penjudi terkenal dari seluruh dunia. delapan dari mereka harus melewati setiap level yang mengancam jiwa bersama-sama menghadapi skuad pembunuh bernama the hunters (barry prima george rudy lidya kandou willy dozan soleh solihun sacha stevenson) yang terus memburu mereka untuk mengakhiri kehidupan mereka. mereka juga harus menghadapi master of martial arts the ghost (yayan ruhian) yang muncul kembali ke dunia hanya untuk menyingkirkan babe cabiita. pada saat yang sama indro warkop yang dicari oleh agen interpol bernama chintya (prisia nasution) juga terjebak dalam skema perjudian online di pulau tersembunyi dengan penjaga keamanan (ence bagus) yang muncul di waktu dan tempat yang salah. chintya indro dan penjaga keamanan harus berjuang untuk bertahan kehidupan mereka melawan pejuang tangguh di kandang berjuang. serangkaian acara lucu akan menggelitik anda saat para pahlawan kami melakukan dalam perjalanan menemukan dan menangkap sang raja dan setiap putaran akan membuat anda tetap berada di tepi kursi saat anda mengikuti petualangan para agen ini. sekuel ini komik 8: ""kasino kings bagian 2"" akan membuka pikiran anda. membuat akting cemerlang yang berkesan dalam film penuh aksi penuh tawa adalah nikita mirzani agung hercules agus kuncoro candil gandhi fernando cak lontong joe p project boy william ray sahetapy dan bagus netral.",Komedi
Suami-suami takut istri: The movie (Aug),"sebuah versi film dari sitkom populer indonesia ""suami suami takut istri: the movie"" mengikuti empat rekan dekat yang bepergian ke bali dengan istri-istri mereka yang mendominasi. istri keempat (dengan dua anak perempuan di belakangnya) berpikir suami mereka membawa mereka pada bulan madu kedua yang romantis tetapi alasan sebenarnya untuk perjalanan ini adalah bahwa keempat orang itu telah secara diam-diam mendapatkan tiket untuk konser yang menampilkan gadis seksi grup ""trio ganas"" termasuk tetangga mereka cantik.",Komedi
Nagabonar Jadi 2 (Aug),alur cerita berputar tentang hubungan nagabonar (deddy mizwar) dan bonaga (tora sudiro) dalam suasana kehidupan anak muda metropolis. bonaga seorang pengusaha sukses mendapat proyek pembangunan resor dari perusahaan jepang. sialnya lahan yang diincar perusahaan jepang tersebut tak lain adalah lahan perkebunan sawit milik ayah nagabonar. maka bonaga pun memboyong ayahnya ke jakarta agar dia bisa membujuk nagabonar menjual lahan tersebut. usaha bonaga tak berhasil. kekeraskepalaan nagabonar untuk mempertahankan lahan perkebunan (di mana di sana juga terdapat makam istri ibu dan sahabat si bengak bujang) semakin menjadi-jadi ketika mengetahui calon pembeli tanahnya adalah perusahaan jepang (yang masih dianggapnya penjajah). sementara nagabonar dan bonaga berusaha untuk saling memahami cara memandang dan nilai-nilai satu sama lain sepanjang waktu hingga bonaga semakin mendekat. namun pada akhirnya bonaga membatalkan perjanjian tersebut karena ia tahu ayahnya sebenarnya berat untuk menyetujui hal tersebut ia tidak mau membuat ayahnya sedih karena ia sangat menyayangi ayahnya.,Komedi
Pengantin Sunat (Aug),penganten sunat mengisahkan tentang kehidupan milik japra (amink). japra tinggal di sebuah tempat yang bernama kampung pasir. sebuah kejadian di masa kecil japra mengubah hidupnya hingga sekarang. yakni ketika ia masih kecil kemaluannya pernah dipatil oleh ikan lele. hal tersebut membuat alat kelamin japra menjadi sangat kecil hingga sekarang. padahal japra juga tak mengubahnya lelaki lain yang ingin menikah namun hal tersebut sulit diwujudkan oleh japra karena ia belum bersunat.,Komedi
Target (Aug),sembilan orang dipaksa memainkan permainan mematikan di mana hanya satu dari mereka yang dapat bertahan kehidupan setelah mereka terjebak di gedung kosong.,Komedi
BFF (Best Friends Forever) (Aug),"bianca, laura, sascha, dan tammy berencana menghabiskan jumat malam bersama. kali ini bianca direncanakan dengan sangat tertata, tidak seperti sebelumnya. namun, kenyataannya tidak seperti apa yang mereka bayangkan. rencana bianca berubah menjadi malapetaka. perjuangan mereka keluar dari situasi buruk membuat bianca kehilangan jejak cowok idamannya. bianca marah besar hingga memicu pertengkaran di antara mereka yang berempati. tingkah polos mereka dalam mengahadapi masalah membuat kekonyolan yang memberi arti tersendiri untuk mereka.",Komedi
Insya Allah Sah 2 (Aug),raka (pandji pragiwaksono) yang jenaka terjebak dalam sebuah taksi online bersama gani (donny alamsyah) seorang buronan polisi yang baru kabur dari penjara dan sedang dikejar oleh sekelompok orang bersenjata anak buah freddy coughar (ray sahetapy).gani meminta bantuan raka untuk bisa lolos dari tembak baku. rakapun setuju akan membantu dengan mengajukan syarat gani harus bernazar akan bertaubat. dalam keadaan terpaksa gani menyetujui syarat raka dan berkat bantuan raka ganipun lolos dari bahaya. namun membalikkan niat baik raka malah menjadikan dirinya masuk dalam ancaman gani. gani mewajibkan raka untuk selalu mengikuti kemanapun pergi. rakapun menjadi kawan seiring gani. walaupun dalam tekanan gani raka terus mengingatkan gani akan bahayanya dan dengan berbagai alasan gani tak menurutinya ia berjanji bertaubat setelah urusannya selesai.urusan utama bagi gani adalah mencari bekas sahabatnyayoga (miller khan) yang telah menggantikannya hingga gani dipenjara. soal lainnya adalah tentang mutia (luna maya) yang sedang hamil anak nya.perjalanan raka bersama gani penuh aksi komedi aksi dan situasi yang tak terduga yang terkadang belum pernah dialami oleh raka dalam hidupnya.,Komedi
Suami-suami takut istri: The movie (Aug),"sebuah versi film dari sitkom populer indonesia ""suami suami takut istri: the movie"" mengikuti empat rekan dekat yang bepergian ke bali dengan istri-istri mereka yang mendominasi. istri keempat (dengan dua anak perempuan di belakangnya) berpikir suami mereka membawa mereka pada bulan madu kedua yang romantis tetapi alasan sebenarnya untuk perjalanan ini adalah bahwa keempat orang itu telah secara diam-diam mendapatkan tiket untuk konser yang menampilkan gadis seksi grup ""trio ganas"" termasuk tetangga mereka cantik.",Komedi
Epen Cupen The Movie (Aug),celo seorang pemuda asal papua mendorongnya untuk mencari saudara kembar yang hilang sejak kecil. celo berangkat dengan mengikuti instruksi dari mimpi ayahnya yang memperhatikan saudara kembarnya berada di medan perang. setibanya di kota jayapura kebetulan celo bertemu dengan babe seorang pengusaha bangkrut dari medan dan meminta untuk memperhatikan di mana medan perang itu. babe terlibat banyak utang hanya membuat masalah celo menjadi rumit. mereka dikejar oleh penagih utang dan bersembunyi di gudang kargo bandara tanpa sadar mereka dibawa lewat udara ke jakarta. di jakarta celo dan babe terlibat banyak masalah baru terutama ketika mereka mengejar nato beko geng-geng itu lagi bertarung dengan perkebunan komodo milik pergaulan william male. celo jujur ​​terpisah harus menemukan saudara kembarnya dia terlibat dalam konflik antar pergaulan urban sementara babe licik juga terus memanfaatkan cello untuk mendapatkan keinginannya.,Komedi
Pengantin Sunat (Aug),penganten sunat mengisahkan tentang kehidupan milik japra (amink). japra tinggal di sebuah tempat yang bernama kampung pasir. sebuah kejadian di masa kecil japra mengubah hidupnya hingga sekarang. yakni ketika ia masih kecil kemaluannya pernah dipatil oleh ikan lele. hal tersebut membuat alat kelamin japra menjadi sangat kecil hingga sekarang. padahal japra juga tak mengubahnya cowok lain yang ingin menikah namun hal tersebut sulit diwujudkan oleh japra karena ia belum bersunat.,Komedi
Duyung Ajaib (Aug),si otong (benyamin s.) anak satu-satunya seorang janda (wolly sutinah) memaksakan diri untuk bekerja sebagai pelaut. dalam suatu kesempatan berlayar otong memancing ikan di laut dengan umpan buah apel. umpan itu disantap oleh ikan duyung. otong tak kuat menariknya dan jatuh ke laut. otong dinyatakan meninggal dunia dan berita itu sampai ke telinga ibu. ternyata otong bukannya hilang melainkan terdampar di suatu pulau bersama ikan duyung. karena hukum adat dipantai itu otong diwajibkan mengawini ikan duyung tersebut. sampai dirumah ikan duyung dipelihara diempangnya dan sempat dikomersilkan. sebuah keajaiban terjadi ikan duyung itu berubah menjadi cewek cantik (nenny triana). maka otong pun mantap menjadi suami ikan duyung cantik itu. tetapi suatu ketika si duyung cantik itu menyaksikan air laut dan membuatnya ingin kembali bersama rekan-rekan sesama ikan duyung. akhirnya putri duyung cantik itu terjun ke laut dan berubah seperti semula ikan duyung yang jelek dan gemuk (ijah bomber). tinggallah si otong meraung-raung di pinggir pantai,Komedi
Cinta Brontosaurus (Aug),film ini bercerita tentang dika seorang penulis yang baru saja putus dengan pacarnya nina setelah lama menjalin hubungan. sejak ia patah hati ia menganggap benar bahwa hubungan pada akhirnya akan 'berakhir' dan akan berakhir. sementara itu agen kosasih menulis dika berusaha meyakinkan dika bahwa ada cinta sejati seperti kosasih yang menganggap benar pada cinta istrinya wanda (tyas mirasih). kosasih kemudian mencoba memperkenalkan dika kepada beberapa gadis. namun cinta bisa datang kapan saja. dika bertemu jessica seorang gadis yang memiliki pola pikir aneh yang sama seperti dika. semakin dekat dika ke jessica semakin dia bertanya 'mohon cinta benar-benar berakhir?'.,Komedi
Claudia/Jasmine (Aug),claudia/jasmine mengisahkan tentang seorang perempuan bernama claudia (kirana larasati). ternyata claudia memiliki pandangan tersendiri terhadap sesuatu yang sangat absurd yaitu cinta. ketika banyak orang yang ingin mendapatkan cinta maka mereka harus sibuk mencarinya ternyata claudia memiliki keyakinan lain. yaitu claudia yakin bahwa cinta bisa diperoleh dengan menunggu. ia yakin bahwa cinta bukan hanya bisa diperoleh melalui pencarian namun juga penantian.,Komedi
Maju kena mundur kena (Aug),dono dan indro adalah kawan satu kos dan anak buah kasino di bengkel. kasino melarang dono dan indro untuk tidak tertarik oleh wanita. padahal secara diam diam kasino selalu merindukan seorang gadis yang fotonya ia temukan di sebuah majalah. tanpa sengaja ketika dono sedang jaga malam ia harus memperbaiki mobil marina. hal tersebut membuat kasino marah karena marina belum membayar ongkosnya. di luar dugaan ternyata marina pindah kos ke tempat dono dan kawannya. kasino terperanjat karena ternyata marina adalah gadis yang ia rindukan selama ini. kasino selalu berusaha mendekati marina tetapi justru dono yang mendapat untung. karena marina yang ditemui kakek neneknya untuk dikawinkan mengaku sudah menikah dengan dono.,Komedi
Epen Cupen The Movie (Aug),celo seorang pemuda asal papua mendorongnya untuk mencari saudara kembar yang hilang sejak kecil. celo berangkat dengan mengikuti instruksi dari mimpi ayahnya yang memandang saudara kembarnya berada di medan perang. setibanya di kota jayapura kebetulan celo bertemu dengan babe seorang pengusaha bangkrut dari medan dan meminta untuk memandang di mana medan perang itu. babe terlibat banyak utang hanya membuat masalah celo menjadi rumit. mereka dikejar oleh penagih utang dan bersembunyi di gudang kargo bandara tanpa sadar mereka dibawa lewat udara ke jakarta. di jakarta celo dan babe terlibat banyak masalah baru terutama ketika mereka mengejar nato beko geng-geng itu lagi bertarung dengan perkebunan komodo milik komplotan william male. celo jujur ​​terpisah harus menemukan saudara kembarnya dia terlibat dalam konflik antar komplotan urban sementara babe licik juga terus memanfaatkan cello untuk mendapatkan keinginannya.,Komedi
Sst… Jadikan aku simpanan (Aug),sssst.. jadikan aku simpanan mengisahkan tentang seorang gadis muda dan cantik bernama pamela (acha septriasa). pamela memiliki niatan untuk masuk ke salah satu universitas terkenal dan kemudian mengikuti tes masuknya. dengan tingkat rasa menganggap benar dirinya yang tinggi pamela yakin dapat masuk ke universitas yang terkenal tersebut.,Komedi
Makelar kodok untung besar (Aug),"pengusaha kodok komar (afrizal anoda) muncul sebagai pengekspor kodok yang berhasil dan kaya raya. ia lalu jatuh hati pada freza (paramitha rusady), gadis cantik yang bercita-cita menjadi penyanyi, namun salah masuk ke kantor perusahaan ekspor kodok milik komar. mereka kemudian bertunangan, namun acara pertunangan itu diganggu usaha saingan usaha komar, imung, yang berusaha membunuh komar. pembunuhan gagal, namun imung berhasil menyandera freza. komar meminta bantuan profesor (dorman borisman) yang kemudian menciptakan robot gadis bernama jolly robot (ida kusumah), yang mengobrak-abrik sarang imung dan menyelamatkan freza.",Komedi
Cek Toko Sebelah (Aug),tepat ketika semuanya berjalan dengan baik untuk erwin ayahnya jatuh sakit dan meminta untuk meninggalkan segalanya dan membantu di toko kerabat yang mengecewakan yohan kakak laki-lakinya yang tidak bertanggung jawab.,Komedi
Ngebut Kawin (Aug),"ones (ringgo agus rahman) adalah seorang sopir taksi di jakarta. ia nasib sederhana. namun, hal itu tidak menyurutkan semangatnya untuk mengurus kakaknya (engkong) (hengky solaiman), yang berusia 100 tahun, yang ...",Komedi
Makelar kodok untung besar (Aug),"pengusaha kodok komar (afrizal anoda) muncul sebagai pengekspor kodok yang berhasil dan kaya raya. ia lalu jatuh hati pada freza (paramitha rusady), gadis cantik yang bercita-cita menjadi penyanyi, namun salah masuk ke kantor perusahaan ekspor kodok milik komar. mereka kemudian bertunangan, namun acara pertunangan itu diganggu usaha saingan usaha komar, imung, yang berusaha membunuh komar. pembunuhan gagal, namun imung berhasil menyandera freza. komar meminta bantuan profesor (dorman borisman) yang kemudian menciptakan robot cewek bernama jolly robot (ida kusumah), yang mengobrak-abrik sarang imung dan menyelamatkan freza.",Komedi
Badut-badut Kota (Aug),dedi (dede yusuf) kawin muda dengan menul (ayu azhari) hingga harus nasib mandiri dengan bekerja sebagai badut di sebuah taman hiburan. pekerjaan ini tidak bisa mencukupi kebutuhan nasib hingga ia bersama beberapa kawan mencoba lepas dari jerat kemiskinan itu. kesempatan datang ketika ia menemukan dompet seorang kaya yang kemudian memberi modal membuka warung dan lalu rumah makan. bila dalam jalur kisah ini sutradara mencoba menggambarkan kehidupan rakyat kecil berikut uneg-unegnya maka pada kisah sampingannya tentang suami-istri chairul raya sutradara film ia mencibir perfilman indonesia. film merupakan campuran keharuan dan kelucuan.,Komedi
Satu Jiwa untuk Indonesia: Darah Biru Arema 2 (Aug),"tiga kisah fans arema, sebuah klub sepakbola malang, yang dikenal dengan sebutan aremania. seorang bapak yang menanti kelahiran anaknya di samboja, kalimantan timur, harus berhadapan dengan kegiatan aremania; seseorang memaknai stadion sebagai tempat berkumpul yang sakral; seorang aremanita harus memikul tanggung jawab untuk menghidupi sanak saudara dan meneruskan cita-cita untuk arema.",Komedi
Temen Kondangan (Aug),"putri (prisia nasution) ditantang untuk menghadiri pesta pernikahan mantan pacarnya. ia mengundang tiga cowok berbeda, dengan harapan salah satu dari mereka bisa menjadi temannya. bencana terjadi ketika ketiganya datang di waktu yang bersamaan.",Komedi
Red CobeX (Aug),red cobex mengisahkan tentang perkumpulan ibu-ibu kuat sekaligus unik yang selalu membela kebenaran. perkumpulan tersebut diberi nama “red cobex”. hal tersebut merunut dengan ciri khas mereka yang selalu membawa cobek berwarna merah tiap kali beraksi. red cobex terdiri dari ketua mereka yaitu mama ana (tika panggabean) tante lisa (indy barends) yu halimah (aida nurmala) mbok bariah (sarah sechan) dan cik mey-mey (cut mini). mereka semua juga terdiri dari suku yang berbeda-beda. ada yang dari ambon madura tegal manado dan keturunan cina. mereka terkenal sebagai kumpulan ibu-ibu jago bela diri yang selalu menumpas kejahatan. mulai dari preman pasar penjual vcd porno tukang palak dan masih banyak lagi. namun ternyata tidak semua orang menganggap positif dari kegiatan red cobex. polisi kemudian menangkap kelompok red cobex karena dianggap sebagai pembuat keonaran. para anggota red cobex yang selalu menjunjung kebenaran tidak ingin melakukan perlawanan ketika polisi menangkap mereka. ternyata ketika seluruh anggota red cobex dimasukan ke penjaran ternyata anak dari mama ana yaitu yosie (lukman sardi) baru saja keluar dari penjara. setelah keluar dari penjara yosie bertekad untuk tidak lagi menjadi orang jahat dan memiliki keinginan besar untuk menjadi orang baik. yosie yang tidak memiliki tempat untuk dituju karena ibunya masuk ke penjara sedangkan ia masih bermusuhan dengan ayahnya akhirnya memutuskan untuk tinggal di rumah sahabatnya yaitu ramli (irfan hakim). namun kondisi ramli sendiri tidak jauh lebih baik. ia tinggal di rumah kecil bersama istrinya yaitu ipeh (gubuk). ipeh langsung tidak menyukai kehadiran yosie di rumah mereka. untuk itulah ipeh mengancam ramli bahwa dia tidak akan diberi “jatah” sebelum yosie keluar dari rumah mereka. tentu saja hal tersebut membuat ramli berada dalam dilema. selain itu yosie tengah jatuh hati kepada seorang perempuan yaitu astuti (revalina s. temat). namun latar belakang serta masa lalu yopie yang gelap membuat hubungan mereka menemukan banyak halangan. hingga kemudian gen red cobex yang sudah keluar dari penjara menjadi pemecah segala masalah.,Komedi
Pinky Promise (Aug),"kisah persahabatan dua perempuan yang memiliki latar belakang, usia yang berbeda, masalah pribadi mereka sendiri ketika salah satu dari mereka terluka dan sedih setelah ditinggal tunangannya yang membatalkan pernikahan kawan mereka.",Komedi
Cinta Brontosaurus (Aug),film ini bercerita tentang dika seorang penulis yang baru saja putus dengan pacarnya nina setelah lama menjalin hubungan. sejak ia patah hati ia yakin bahwa hubungan pada akhirnya akan 'berakhir' dan akan berakhir. sementara itu agen kosasih menulis dika berusaha meyakinkan dika bahwa ada cinta sejati seperti kosasih yang yakin pada cinta istrinya wanda (tyas mirasih). kosasih kemudian mencoba memperkenalkan dika kepada beberapa gadis. namun cinta bisa datang kapan saja. dika bertemu jessica seorang gadis yang memiliki pola pikir aneh yang sama seperti dika. semakin dekat dika ke jessica semakin dia bertanya 'mohon cinta benar-benar berakhir?'.,Komedi
Si jago merah (Aug),"gito prawoto (desta club 80’s), dede rifai (ringgo agus rahman), kuncoro prasetyo (ytonk club 80’s), dan rojak panggabean (judika) terancam d.o. gara-gara menunggak uang kuliah selama 4 semester berturut-turut, orang tua mereka ternyata sudah tidak bisa lagi membiayai kuliah. pihak kampus memberikan kelonggaran agar mereka bisa tetap kuliah, tetapi tetap harus membayar minimal satu semester dalam waktu beberapa hari.masing-masing mencari uang. ternyata mereka tetap membutuhkan biaya untuk nasib sehari-hari, apalagi sebagian dari mereka sebelumnya bergaya nasib ibu kota.kuncoro memberikan solusi agar biaya operasional terjangkau dan mengajak mereka mencari rumah kontrakan dekat kampus, dan menjalani pola nasib sederhana. solusi lainnya adalah kerja magang, tetapi magang itu membuat mereka kelelahan. jadwal kuliah menjadi berantakan. gito mendapatkan ide untuk mencari part time job yang tidak melelahkan dan menyita banyak waktu yaitu sebagai pemadam kebakaran. singkat cerita setelah ikut pelatihan, mereka diterima kerja magang di pemadam kebakaran, sebagai pasukan cadangan dengan perlengkapan seadanya dan diberi tugas untuk merawat mobil pemadam kebakaran yang sudah tua, yang dikenal dengan sebutan si jago merah.mahasiswa-mahasiswa “tidak-beruntung” ini mendapatkan jatidirinya melalui sebuah tindakan heroik tanpa pamrih yang membuat mereka mendapat penghargaan dari wali kota (rano karno).",Komedi
Epen Cupen The Movie (Aug),celo seorang pemuda asal papua mendorongnya untuk mencari saudara kembar yang hilang sejak kecil. celo berangkat dengan mengikuti instruksi dari mimpi ayahnya yang memperhatikan saudara kembarnya berada di medan perang. setibanya di kota jayapura kebetulan celo bertemu dengan babe seorang pengusaha bangkrut dari medan dan meminta untuk memperhatikan di mana medan perang itu. babe terlibat banyak utang hanya membuat masalah celo menjadi rumit. mereka dikejar oleh penagih utang dan bersembunyi di gudang kargo bandara tanpa sadar mereka dibawa lewat udara ke jakarta. di jakarta celo dan babe terlibat banyak masalah baru terutama ketika mereka mengejar nato beko geng-geng itu lagi bertarung dengan perkebunan komodo milik pergaulan william male. celo jujur ​​terpisah harus menemukan saudara kembarnya dia terlibat dalam konflik antar pergaulan urban sementara babe licik juga terus memanfaatkan cello untuk mendapatkan keinginannya.,Komedi
Laundry Show (Aug),seorang lelaki memilih untuk mengundurkan diri dari kantornya untuk mendirikan bisnis binatu dan harus berhadapan dengan karyawannya yang memiliki berbagai kepribadian konyol.,Komedi
Baracas: Barisan Anti Cinta Asmara (Aug),bandung dilanda ketakutan karena pemuda itu meninggalkan keluarganya untuk bergabung dengan baracas. baracas adalah tempat para lelaki kecewa dengan para perempuan bentukan agus (ringgo agus rahman).,Komedi
Cinta Brontosaurus (Aug),"dika, seorang penulis yang patah hati, mempercayai bahwa hubungan apa pun pada akhirnya akan 'kadaluwarsa'. sementara itu, agennya berusaha meyakinkannya tentang cinta sejati saat ia mencoba mengenalkan dika kepada seorang gadis yang memiliki pola pikir aneh seperti dika.",Komedi
